Data;Artista
09/11/2013;Móveis Coloniais de Acaju
10/05/2014;Vespas Mandarinas
06/12/2014;Tiago Iorc
18/04/2015;Tulipa Ruiz
24/04/2015;Vivendo do Ócio
13/06/2015;A Banda Mais Bonita da Cidade
13/06/2015;Tay Galega
04/07/2015;Supercombo
26/07/2015;Supercombo
28/08/2015;Scalene
18/10/2015;Far from Alaska
18/10/2015;Maglore
18/10/2015;Supercombo
08/11/2015;Vanguart
15/12/2015;Maglore
24/01/2016;Vanguart
13/02/2016;Dingo Bells
13/02/2016;Maglore
02/04/2016;Locus
02/04/2016;Martin
02/04/2016;Selvagens à Procura de Lei
02/04/2016;Vivendo do Ócio
03/04/2016;Tiago Iorc
12/04/2016;Vanguart
21/04/2016;Móveis Coloniais de Acaju
14/05/2016;Dingo Bells
14/05/2016;O Terno
12/06/2016;Ana Muller
12/06/2016;Leo Fressato
12/06/2016;Marujos
12/06/2016;Rodrigo (Parte)
12/06/2016;Rubel
12/06/2016;Tubaranda
12/06/2016;Vivendo do Ócio
12/06/2016;Zimbra
17/07/2016;Rodrigo Pitta
17/07/2016;Thiago Pethit
25/07/2016;Esteban
31/07/2016;Vespas Mandarinas
19/08/2016;Selvagens à Procura de Lei
20/08/2016;A Banda Mais Bonita da Cidade
26/08/2016;O Terno
04/09/2016;Baleia
15/10/2016;Vanguart
16/10/2016;E a terra nunca me pareceu tão distante
16/10/2016;Ventre
19/11/2016;Móveis Coloniais de Acaju
02/12/2016;Supercombo
07/12/2016;Simple Plan
15/12/2016;O Terno
20/01/2017;Ventre
20/01/2017;Hierofante Púrpura
25/01/2017;Supercombo
12/03/2017;Anavitória
15/03/2017;Rubel
19/03/2017;Vanguart
13/04/2017;E a terra nunca me pareceu tão distante
13/04/2017;Ventre
07/05/2017;Silva
28/05/2017;Selvagens à Procura de Lei
28/05/2017;Vespas Mandarinas
08/07/2017;Baleia
14/07/2017;Maglore
16/07/2017;Zimbra
07/10/2017;Vanguart
14/10/2017;Drik Barbosa
14/10/2017;Tiê
14/10/2017;Ventre
07/11/2017;Iza
07/11/2017;Coldplay
15/11/2017;O Terno
14/01/2018;Maglore
28/02/2018;Foo Fighters e Queens of the Stone Age
14/03/2018;Baleia
17/03/2018;Supercombo
18/03/2018;Maglore
21/04/2018;Johnny Hooker
30/04/2018;Far From Alaska
19/05/2018;Fresno
15/06/2018;Maglore
30/06/2018;Silva
05/07/2018;Francisco, el hombre
13/07/2018;Vanguart
15/07/2018;Tim Bernardes
19/07/2018;Selvagens à Procura de Lei
30/07/2018;Rubel
05/08/2018;Cícero
17/08/2018;Lenine
31/08/2018;Ana Muller
08/09/2018;Vespas Mandarinas
14/09/2018;Selvagens à Procura de Lei
27/09/2018;Fresno
10/11/2018;Rubel
17/11/2018;Far From Alaska
17/11/2018;Huey
06/12/2018;Zimbra
15/12/2018;Supercombo
19/12/2018;Tim Bernardes
13/01/2019;Tiê
20/01/2019;Tuyo 
31/01/2019;Vanguart
10/02/2019;Castello Branco
15/02/2019;Anavitória
02/03/2019;Liniker e os Caramelows
14/03/2019;Vivendo do Ócio
27/03/2019;Maglore
30/03/2019;Plutão já foi planeta
13/04/2019;Tiê
03/05/2019;Vanguart
10/05/2019;Céu
12/05/2019;Supercombo
17/05/2019;O Terno
19/05/2019;Anelis Assumpção (com Tulipa Ruiz e Negro Léo)
19/05/2019;Pitty
19/05/2019;Tuyo
31/05/2019;Duda Beat
09/06/2019;Duda Beat
09/06/2019;Lily Allen
09/06/2019;Mad Mothers
29/06/2019;Silva
30/06/2019;Maglore
09/07/2019;Francisco, el Hombre
12/07/2019;Thiago Pethit
13/07/2019;Liniker e os Caramelows
18/07/2019;Silva
21/07/2019;Maglore
28/07/2019;BRVNKS
28/07/2019;Menores Atos
13/08/2019;Rubel
23/08/2019;Silva
12/09/2019;Selvagens à Procura de Lei
02/11/2019;Vanguart
08/11/2019;O Terno
27/11/2019;Emicida
05/12/2019;Far From Alaska
20/12/2019;Tim Bernardes
09/02/2020;Zimbra
23/02/2020;Johnny Hooker
14/11/2021;Luiza Lian
10/12/2021;Maglore
12/12/2021;Bixiga 70
12/12/2021;Luedji Luna
18/12/2021;Far From Alaska
