Data,Show,Evento,Local,ENDEREÇO,GRATUITO,Abertura,INTERNACIONAL,FESTIVAL,ACOMPANHADA,Latitude,Longitude
09/11/2013,Móveis Coloniais de Acaju,FNAC Paulista,FNAC Paulista,"Av. Paulista, 901 - Bela Vista, São Paulo - SP, 01311-100",True,False,False,False,True,-23.56579,-46.65145
06/12/2014,Tiago Iorc,Teatro Polytheama,Teatro Polytheama Jundiaí,"R. Barão de Jundiaí, 176 - Centro, Jundiaí - SP, 13201-010",False,False,False,False,True,-23.1923541,-46.8809098
08/11/2015,Vanguart,SESC Pinheiros,SESC Pinheiros,"R. Paes Leme, 195 - Pinheiros, São Paulo - SP, 05424-150",False,False,False,False,True,-23.5677223,-46.69759149999999
13/02/2016,Dingo Bells,CCSP,Centro Cultural São Paulo,"Rua Vergueiro, 1000 - Paraíso, São Paulo - SP, 01504-000",False,False,False,False,True,-23.5714751,-46.6402144
13/02/2016,Maglore,CCSP,Centro Cultural São Paulo,"Rua Vergueiro, 1000 - Paraíso, São Paulo - SP, 01504-000",False,False,False,False,True,-23.5714751,-46.6402144
21/04/2016,Móveis Coloniais de Acaju,SESC Bom Retiro,SESC Bom Retiro,"Alameda Nothmann, 185 - Campos Elíseos, São Paulo - SP, 01216-000",True,False,False,False,True,-23.5310655,-46.6433043
19/08/2016,Selvagens à Procura de Lei,Livraria Cultura Bourbon,Bourbon Shopping,"Rua Palestra Itália, 500 - Piso 3 - Loja 211 - Perdizes, São Paulo - SP, 05005-030",True,False,False,False,True,-23.526536,-46.68102
19/11/2016,Móveis Coloniais de Acaju,Teatro Mars,Teatro Mars,"Rua João Passalaqua, 80 - Bela Vista, São Paulo - SP, 01326-020",False,False,False,False,True,-23.5538209,-46.6461313
12/03/2017,Anavitória,Teatro Polytheama,Teatro Polytheama Jundiaí,"R. Barão de Jundiaí, 176 - Centro, Jundiaí - SP, 13201-010",False,False,False,False,True,-23.1923541,-46.8809098
15/03/2017,Rubel,Festival Sai da rede,Centro Cultural Banco do Brasil São Paulo,"R. Álvares Penteado, 112 - Centro Histórico de São Paulo, São Paulo - SP, 01012-000",False,False,False,False,True,-23.5478547,-46.6345854
