ID_EVENTO;Data;EVENTO;ARTISTAS;Local/Evento;Local;Endereço;Preço;Companhia;Quem foi;Latitude;Longitude
IDE001;09/11/2013;Pocket Show: Móveis Coloniais de Acaju;Móveis Coloniais de Acaju;FNAC Paulista;FNAC Paulista;Av. Paulista, 901 - Bela Vista, São Paulo - SP, 01311-100;0;TRUE;Beatriz, Heloísa;-23.5659703;-46.6513863
IDE002;10/05/2014;Show: Festival CCBB de Música Urbana;Vespas Mandarinas;Vale do Anhangabaú;Vale do Anhangabaú;Centro Histórico de São Paulo, São Paulo - SP, 01010-001;0;FALSE;Sozinha;-23.54541095;-46.63666383561210
IDE003;06/12/2014;Show: Tiago Iorc;Tiago Iorc;Teatro Polytheama;Teatro Polytheama Jundiaí;R. Barão de Jundiaí, 176 - Centro, Jundiaí - SP, 13201-010;35;TRUE;Beatriz;-23.1923946;-46.880882082053100
IDE004;18/04/2015;Show: Tulipa Ruiz;Tulipa Ruiz;SESC Jundiaí;SESC Jundiaí;Av. Antônio Frederico Ozanan, 6600 - Jardim Botânico, Jundiaí - SP, 13214-206;0;FALSE;Sozinha;-23.17373985;-46.897713364294900
IDE005;24/04/2015;Pocket Show: Vivendo do Ócio;Vivendo do Ócio;Livraria Cultura Bourbon;Bourbon Shopping;Rua Palestra Itália, 500 - Piso 3 - Loja 211 - Perdizes, São Paulo - SP, 05005-030;0;FALSE;Sozinha;-23.5258835;-46.681107
IDE006;13/06/2015;Show: A Banda Mais Bonita da Cidade (abertura: Tay Galega);A Banda Mais Bonita da Cidade e Tay Galega;Teatro Mars;Teatro Mars Bela Vista;Rua João Passalaqua, 80 - Bela Vista, São Paulo - SP, 01326-020;35;FALSE;Sozinha;-23.5538209;-46.64832
IDE007;04/07/2015;Pocket Show: Supercombo;Supercombo;Monster Music Store;Monster Music Store;R. Teodoro Sampaio, 918 - Pinheiros, São Paulo - SP, 05406-050;0;FALSE;Sozinha;-23.5602687;-46.6820128
IDE008;26/07/2015;Show: Supercombo;Supercombo;Aldeia Bar;Aldeia Bar Jundiaí;R. Dr. Torres Neves, 111 - Centro, Jundiaí - SP, 13201-058;30;FALSE;Sozinha;-23.186081;-46.8819953
IDE009;28/08/2015;Pocket Show: Scalene;Scalene;Livraria Cultura Bourbon;Bourbon Shopping;Rua Palestra Itália, 500 - Piso 3 - Loja 211 - Perdizes, São Paulo - SP, 05005-030;0;FALSE;Sozinha;-23.5258835;-46.681107
IDE010;18/10/2015;Show: Far From Alaska, Maglore e Supercombo;Far From Alaska, Maglore e Supercombo;Carioca Club;Carioca Club Pinheiros;Rua Cardeal Arcoverde, 2899 - Pinheiros, São Paulo - SP, 05407-004;30;FALSE;Sozinha;-23.5693038;-46.6949663
IDE011;08/11/2015;Show: Vanguart;Vanguart;SESC Pinheiros;SESC Pinheiros;R. Paes Leme, 195 - Pinheiros, São Paulo - SP, 05424-150;15;TRUE;Rafaella;-23.5680244;-46.69780334024130
IDE012;15/12/2015;Pocket Show: Maglore;Maglore;FNAC Paulista;FNAC Paulista;Av. Paulista, 901 - Bela Vista, São Paulo - SP, 01311-100;0;FALSE;Sozinha;-23.5659703;-46.6513863
IDE013;24/01/2016;Show: Vanguart;Vanguart;SESC Santana;SESC Santana;Av. Luiz Dumont Villares, 579 - Santana, São Paulo - SP, 02085-100;15;FALSE;Sozinha;-23.4965872;-46.612798144322500
IDE014;13/02/2016;Show: Dingo Bells e Maglore;Dingo Bells e Maglore;CCSP;Centro Cultural São Paulo;Rua Vergueiro, 1000 - Paraíso, São Paulo - SP, 01504-000;10;TRUE;Rafaella;-23.5700325;-46.64023039547910
IDE015;02/04/2016;Show: Selvagens à Procura de Lei e Vivendo do Ócio;Selvagens à Procura de Lei, Vivendo do Ócio, Locus e Martin;Teatro Mars;Teatro Mars Bela Vista;Rua João Passalaqua, 80 - Bela Vista, São Paulo - SP, 01326-020;35;FALSE;Sozinha;-23.5538209;-46.64832
IDE016;03/04/2016;Show: Tiago Iorc;Tiago Iorc;Teatro Polytheama;Teatro Polytheama Jundiaí;R. Barão de Jundiaí, 176 - Centro, Jundiaí - SP, 13201-010;50;FALSE;Sozinha;-23.1923946;-46.880882082053100
IDE017;12/04/2016;Pocket Show: Vanguart;Vanguart;FNAC Paulista;FNAC Paulista;Av. Paulista, 901 - Bela Vista, São Paulo - SP, 01311-100;0;FALSE;Sozinha;-23.5659703;-46.6513863
