ENDEREÇO;GRATUITO;Abertura;INTERNACIONAL;FESTIVAL;ACOMPANHADA;;
Av. Paulista, 901 - Bela Vista, São Paulo - SP, 01311-100;True;False;False;False;True;;
R. Barão de Jundiaí, 176 - Centro, Jundiaí - SP, 13201-010;False;False;False;False;True;;
R. Paes Leme, 195 - Pinheiros, São Paulo - SP, 05424-150;False;False;False;False;True;;
Rua Vergueiro, 1000 - Paraíso, São Paulo - SP, 01504-000;False;False;False;False;True;;
Rua Vergueiro, 1000 - Paraíso, São Paulo - SP, 01504-000;False;False;False;False;True;;
Alameda Nothmann, 185 - Campos Elíseos, São Paulo - SP, 01216-000;True;False;False;False;True;;
Rua Palestra Itália, 500 - Piso 3 - Loja 211 - Perdizes, São Paulo - SP, 05005-030;True;False;False;False;True;;
Rua João Passalaqua, 80 - Bela Vista, São Paulo - SP, 01326-020;False;False;False;False;True;;
R. Barão de Jundiaí, 176 - Centro, Jundiaí - SP, 13201-010;False;False;False;False;True;;
R. Álvares Penteado, 112 - Centro Histórico de São Paulo, São Paulo - SP, 01012-000;False;False;False;False;True;;
R. Antônio de Lucena, 146 - Chácara Califórnia, São Paulo - SP, 03407-050;False;False;False;False;True;;
Av. Francisco Matarazzo, 1705 - Água Branca, São Paulo - SP, 05001-200;False;True;False;False;True;;
Av. Francisco Matarazzo, 1705 - Água Branca, São Paulo - SP, 05001-200;False;False;True;False;True;;
R. Pelotas, 141 - Vila Mariana, São Paulo - SP, 04012-000;False;False;False;False;True;;
R. do Carmo, 147 - Sé, São Paulo - SP, 01019-020;False;False;False;False;True;;
R. Paes Leme, 195 - Pinheiros, São Paulo - SP, 05424-150;False;False;False;False;True;;
Av. Rio Branco, 343 - Campos Elíseos, São Paulo - SP, 01205-000;True;False;False;True;True;;
Av. Ipiranga, 200 - Centro Histórico de São Paulo, São Paulo - SP, 01046-010;True;False;False;True;True;;
Praça São Vito, s/n - Brás, São Paulo - SP, 03007-030;False;False;False;False;True;;
Alameda Barão de Piracicaba, 740 - Campos Elíseos, São Paulo - SP, 01216-010;False;False;False;False;True;;
R. Padre Adelino, 1000 - Belenzinho, São Paulo - SP, 03303-000;False;False;False;False;True;;
Praça Carlos Gomes, 82 - Se, São Paulo - SP, 01501-040;False;False;False;False;True;;
R. Artur de Azevedo, 2134 - Pinheiros, São Paulo - SP, 05404-005;False;False;False;False;True;;
R. Clélia, 93 - Água Branca, São Paulo - SP, 05042-000;False;False;False;False;True;;
R. Pelotas, 141 - Vila Mariana, São Paulo - SP, 04012-000;False;False;False;False;True;;
R. Paes Leme, 195 - Pinheiros, São Paulo - SP, 05424-150;False;False;False;False;True;;
R. Tagipuru, 795 - Barra Funda, São Paulo - SP, 01156-000;False;False;True;False;True;;
R. Paes Leme, 195 - Pinheiros, São Paulo - SP, 05424-150;False;False;False;False;True;;
Av. Pedro Álvares Cabral, 0 - Ibirapuera, São Paulo - SP, 04094-050;False;False;False;True;True;;
Av. Pedro Álvares Cabral, 0 - Ibirapuera, São Paulo - SP, 04094-050;False;False;False;True;True;;
Av. Pedro Álvares Cabral, 0 - Ibirapuera, São Paulo - SP, 04094-050;False;False;False;True;True;;
Av. São João, 473 - Centro Histórico de São Paulo, São Paulo - SP, 01035-000;True;False;False;False;True;;
Av. Santos Dumont, 843 - Luz, São Paulo - SP, 01101-000;False;True;False;False;True;;
Av. Santos Dumont, 843 - Luz, São Paulo - SP, 01101-000;False;False;True;False;True;;
Rua Palestra Itália, 500 - Loja 263, 3° Piso - Perdizes, 05005-900;False;False;False;False;True;;
Av. Fernando do Espírito Santo Alves de Mattos, 1000 - Itaquera, São Paulo - SP, 08265-045;True;False;False;False;True;;
R. Dr. Vila Nova, 245 - Vila Buarque, São Paulo - SP, 01222-020;False;False;False;False;True;;
Av. Sen. Teotônio Vilela, 400 - Jardim Malia I, São Paulo - SP, 04792-097;False;False;False;True;True;;
Av. Sen. Teotônio Vilela, 400 - Jardim Malia I, São Paulo - SP, 04792-098;False;False;False;True;True;;
Av. Sen. Teotônio Vilela, 400 - Jardim Malia I, São Paulo - SP, 04792-099;False;False;False;True;True;;
Centro Histórico de São Paulo, São Paulo - SP, 01010-001;True;False;False;True;False;;
Av. Antônio Frederico Ozanan, 6600 - Jardim Botânico, Jundiaí - SP, 13214-206;True;False;False;False;False;;
