"";"station";"name";"date";"awnd";"pgtm";"prcp";"snow";"snwd";"tavg";"tmax";"tmin";"wdf2";"wdf5";"wsf2";"wsf5";"wt01";"wt02";"wt03";"wt08"
"1";"US1NJUN0028";"SPRINGFIELD TWP 0.7 NNE, NJ US";"2022-12-22";"";NA;"0.00";"0.0";"";NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA
"2";"US1NJUN0028";"SPRINGFIELD TWP 0.7 NNE, NJ US";"2022-12-23";"";NA;"1.33";"";"";NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA
"3";"US1NJUN0028";"SPRINGFIELD TWP 0.7 NNE, NJ US";"2022-12-24";"";NA;"0.17";"";"";NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA
"4";"US1NJUN0028";"SPRINGFIELD TWP 0.7 NNE, NJ US";"2022-12-25";"";NA;"0.00";"0.0";"";NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA
"5";"US1NJUN0028";"SPRINGFIELD TWP 0.7 NNE, NJ US";"2022-12-26";"";NA;"0.00";"0.0";"";NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA
"6";"US1NJUN0028";"SPRINGFIELD TWP 0.7 NNE, NJ US";"2022-12-27";"";NA;"0.00";"0.0";"";NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA
"7";"US1NJUN0028";"SPRINGFIELD TWP 0.7 NNE, NJ US";"2022-12-28";"";NA;"0.00";"0.0";"";NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA
"8";"US1NJUN0028";"SPRINGFIELD TWP 0.7 NNE, NJ US";"2022-12-29";"";NA;"0.00";"0.0";"";NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA
"9";"US1NJUN0028";"SPRINGFIELD TWP 0.7 NNE, NJ US";"2022-12-30";"";NA;"0.00";"0.0";"";NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA
"10";"US1NJUN0028";"SPRINGFIELD TWP 0.7 NNE, NJ US";"2022-12-31";"";NA;"0.00";"0.0";"";NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA
"11";"USW00014734";"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US";"2022-12-22";"9.62";NA;"0.28";"0.0";"0.0";37;11,11;-1,67;60;50;"17.0";"23.0";1;NA;NA;NA
"12";"USW00014734";"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US";"2022-12-23";"21.70";NA;"1.26";"0.0";"0.0";46;14,44;-12,78;270;240;"42.9";"53.0";1;NA;1;NA
