Descrição,Mercado,Data,Valor,Moeda,Cotação (média),Total em reais
Compra no dia 08/09/2022 no HEB,HEB,08/09/2022,"45,05",Dólar,"5,25","236,51"
Compra no dia 14/09/2022 no HEB,HEB,14/09/2022,"40,91",Dólar,"5,25","214,78"
Compra no dia 26/09/2022 no HEB,HEB,26/09/2022,"57,93",Dólar,"5,25","304,13"
Compra no dia 15/10/2022 no HEB,HEB,15/10/2022,"79,28",Dólar,"5,25","416,22"
Compra no dia 25/10/2022 no HEB,HEB,25/10/2022,"30,84",Dólar,"5,25","161,91"
Compra no dia 04/11/2022 no HEB,HEB,04/11/2022,"71,03",Dólar,"5,25","372,91"
Compra no dia 12/11/2022 no HEB,HEB,12/11/2022,"41,70",Dólar,"5,25","218,93"
Compra no dia 20/11/2022 no HEB,HEB,20/11/2022,"45,97",Dólar,"5,25","241,34"
Compra no dia 04/12/2022 no HEB,HEB,04/12/2022,"54,69",Dólar,"5,25","287,12"
Compra no dia 08/12/2022 no HEB,HEB,08/12/2022,"2,25",Dólar,"5,25","11,81"
Compra no dia 16/12/2022 no HEB,HEB,16/12/2022,"36,57",Dólar,"5,25","191,99"
Compra no dia 19/12/2022 no HEB,HEB,19/12/2022,"7,96",Dólar,"5,25","41,79"
Compra no dia 11/09/2022 no FIESTA,FIESTA,11/09/2022,"9,80",Dólar,"5,25","51,45"
Compra no dia 22/09/2022 no FIESTA,FIESTA,22/09/2022,"26,21",Dólar,"5,25","137,60"
Compra no dia 30/09/2022 no FIESTA,FIESTA,30/09/2022,"22,50",Dólar,"5,25","118,13"
Compra no dia 07/10/2022 no FIESTA,FIESTA,07/10/2022,"37,17",Dólar,"5,25","195,14"
Compra no dia 21/10/2022 no FIESTA,FIESTA,21/10/2022,"29,74",Dólar,"5,25","156,14"
Compra no dia 10/11/2022 no FIESTA,FIESTA,10/11/2022,"27,12",Dólar,"5,25","142,38"
Compra no dia 22/11/2022 no FIESTA,FIESTA,22/11/2022,"4,38",Dólar,"5,25","23,00"
Compra no dia 29/11/2022 no FIESTA,FIESTA,29/11/2022,"19,61",Dólar,"5,25","102,95"
Compra no dia 17/09/2022 no TARGET UT,TARGET,17/09/2022,"22,73",Dólar,"5,25","119,33"
Compra no dia 19/09/2022 no TARGET UT,TARGET,19/09/2022,"31,62",Dólar,"5,25","166,01"
Compra no dia 25/09/2022 no TARGET UT,TARGET,25/09/2022,"18,03",Dólar,"5,25","94,66"
Compra no dia 29/09/2022 no TARGET UT,TARGET,29/09/2022,"8,03",Dólar,"5,25","42,16"
Compra no dia 02/10/2022 no TARGET UT,TARGET,02/10/2022,"25,96",Dólar,"5,25","136,29"
Compra no dia 04/10/2022 no TARGET UT,TARGET,04/10/2022,"13,50",Dólar,"5,25","70,88"
Compra no dia 10/10/2022 no TARGET UT,TARGET,10/10/2022,"26,79",Dólar,"5,25","140,65"
Compra no dia 24/10/2022 no TARGET UT,TARGET,24/10/2022,"12,37",Dólar,"5,25","64,94"
Compra no dia 29/10/2022 no TARGET UT,TARGET,29/10/2022,"24,74",Dólar,"5,25","129,89"
Compra no dia 02/11/2022 no TARGET UT,TARGET,02/11/2022,"6,29",Dólar,"5,25","33,02"
Compra no dia 07/11/2022 no TARGET UT,TARGET,07/11/2022,"20,09",Dólar,"5,25","105,47"
Compra no dia 14/11/2022 no TARGET UT,TARGET,14/11/2022,"17,65",Dólar,"5,25","92,66"
Compra no dia 18/11/2022 no TARGET UT,TARGET,18/11/2022,"10,67",Dólar,"5,25","56,02"
Compra no dia 26/11/2022 no TARGET UT,TARGET,26/11/2022,"29,00",Dólar,"5,25","152,25"
Compra no dia 27/11/2022 no TARGET 5TH,TARGET,27/11/2022,"2,48",Dólar,"5,25","13,02"
Compra no dia 06/12/2022 no TARGET UT,TARGET,06/12/2022,"2,48",Dólar,"5,25","13,02"
Compra no dia 10/12/2022 no TARGET ARB,TARGET,10/12/2022,"32,48",Dólar,"5,25","170,52"
Compra no dia 10/12/2022 no TARGET UT,TARGET,10/12/2022,"39,32",Dólar,"5,25","206,43"
Compra no dia 17/12/2022 no TARGET UT,TARGET,17/12/2022,"3,18",Dólar,"5,25","16,70"
Compra no dia 19/12/2022 no TARGET ARB,TARGET,19/12/2022,"21,59",Dólar,"5,25","113,35"
Compra no dia 19/12/2022 no TARGET ARB,TARGET,19/12/2022,"1,08",Dólar,"5,25","5,67"
